,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
97,124.46406903060537,1038.62073614669,2606.8592200145335,2.5792547259530125,0.04476430033316869,84.35300159141,-30274.0,0.04023346648161723,9,1
96,110.92737035467006,373.00621732372474,2487.359134426703,2.532312028724698,0.03817540536592574,77.67505563209005,-29769.0,0.03650445341895587,9,0
101,490.13163535493635,1051.587441684529,2787.515231756137,2.5723670515966823,0.03963367590299816,89.27359335090893,-29234.0,0.033240551657617974,9,4
116,677.3751709051135,517.6019961717254,2575.8147774850395,2.6424677936486436,0.07591504919298063,78.18305723293393,-28241.0,0.008956766105227321,10,9
107,110.56106979405034,372.84110411899314,2462.4141269039374,2.5701263002204127,0.031409647747534956,76.07000163204383,-29792.0,0.011702888018586861,10,0
108,123.94833849051527,1038.3115834790797,2617.72371356936,2.5222273026817215,0.023108384054870527,83.4656962351592,-30284.0,0.01296370170559507,10,1
109,231.17911138537488,215.68080839247145,2282.804400828278,2.5966655569807684,0.03251301214108878,68.67430702892845,-26895.0,0.007441408385636336,10,2
110,246.55356922697572,512.3129083960055,2856.498996469942,2.5708790922783193,0.032286848838924215,89.80486303782952,-32841.0,0.02945738761737842,10,3
111,489.58179268137195,1051.3666964171873,2762.1158462968506,2.646666787638554,0.03688100469966342,84.17004810212258,-29288.0,0.01064257512274078,10,4
112,531.1864233327648,1246.583830803343,2064.8074980031156,2.629682701459068,0.04370763716720633,62.68731615973982,-23571.0,0.005248519228176714,10,5
113,536.8267876701611,1176.7458926615552,2250.756390881445,2.558806099711815,0.03386227961065985,69.7308348293735,-25667.0,0.006446384621099908,10,6
114,552.5443855581318,282.2684663795959,2126.4382863624105,2.5797642984790663,0.018846839691016276,68.67430702892845,-26479.0,0.007071637920867953,10,7
115,616.0803957085133,511.66267242580466,2527.566674598049,2.553209696592152,0.03335503581215468,79.23958503337899,-29818.0,0.011763347029760327,10,8
124,552.4866392600205,282.10945529290854,2092.4937944724393,2.5731504265211536,0.0461649084147056,66.30889893412149,-26517.0,0.014323962524873337,11,7
120,246.51840299438553,512.2573923892701,2872.7882430107225,2.5688522478902818,0.03687137844214782,91.39875258487015,-32809.0,0.04068291159047609,11,3
